"Geo_FIPS","Edu_2019","Unemp_2019","Income_2019","Built_2019","Rent_2019"
18127050604,3.61,3.93,94130,28,1305
18127050702,5.19,7.49,45471,40,944
18127050704,4.01,0,85859,42,932
18127051002,4.16,3.22,86974,27,958
18127051101,6.35,1.28,69711,36,778
18127980001,0,0,0,0,0
18127050900,6.61,8.52,28516,75,767
18089010304,18.62,8.95,33438,65,810
18089010600,18.54,4.44,28750,75,711
18089041200,27.01,27.06,34036,54,825
18089041700,16.08,8.86,44746,64,970
18089041900,11.79,6.22,68199,62,795
18089010205,10.98,8.37,20058,0,473
18089042607,4.98,3.66,90268,33,984
18089010203,14.77,4.74,32587,68,742
18089011400,21.82,18.27,18851,61,769
18089021100,10.66,5.67,53168,66,1019
18089040700,5.52,3.7,68155,63,950
18089042503,8.9,5.81,49375,30,371
18089042801,4.77,6.81,79189,29,988
18089043002,5.81,5.89,52685,58,1001
18127050103,6.18,2.64,85334,37,705
18127051007,5.1,2.65,95765,34,944
18089043405,9.06,3.62,77625,44,798
18127051005,2.55,2.39,116719,30,0
18089020400,28.49,7.44,44668,80,949
18089042300,8,9.78,65878,31,962
18089042703,3.76,1.18,83839,26,1178
18089042902,5.2,3.31,88277,20,927
18089043401,4.77,3.79,80993,39,1177
18073101100,15.27,1.11,49500,50,789
18127051006,10.92,4.77,66875,43,993
18089041400,10.67,12.09,45313,61,782
18127050703,4.38,4.76,72500,54,1422
18089040100,22.21,10.91,47688,0,933
18089040801,6.67,7.67,74375,60,1053
18089041600,22.59,13.28,38709,62,932
18089042702,6.91,5.3,60600,41,1026
18089021800,18.7,9.43,35682,64,956
18089043202,5.18,1.26,99091,20,1051
18127050300,6.25,4.32,83552,28,1207
17031843800,12.28,26.37,36042,0,963
17037001002,10.77,13.61,22121,38,942
17031243000,7.05,5.04,85362,78,1435
17031250600,13.87,9.99,46184,0,1134
17031251700,13.9,5.12,52857,0,1221
17031260400,31.18,24.28,18750,0,911
17031260500,37.55,17.99,33026,0,1141
17031271500,10.53,8.88,37109,61,1084
17031291200,21.12,17.82,22153,76,1027
17031301100,42.16,8.27,31207,0,763
17031351100,15.93,41.93,11523,48,501
17031380200,10.78,4.82,27724,43,688
17031390400,9.95,19.71,25553,65,764
17031410800,3.15,3.18,38412,68,1026
17031421200,17.39,15.79,19911,75,636
17031800100,0.52,1.42,250001,76,0
17031801400,2.65,2.32,134803,63,2662
17031801902,3.27,0.79,163649,53,3013
17031802100,5.54,3.77,151094,63,649
17031830008,4.45,8.6,85156,40,1672
17031831400,20.62,6.32,33776,0,1048
17031833900,26.19,14.95,32237,0,806
17031834700,32.27,24.67,23125,65,923
17031835200,24.66,9.88,50900,60,790
17031835600,19.45,27.52,23571,0,682
17031836300,2.02,11.43,52440,0,1129
17031837300,16.39,17.46,27656,70,1162
17031839500,19,4.41,19950,50,274
17031841300,28.67,7.13,54275,0,981
17031842500,21.62,34.21,11146,55,490
17089852601,4.05,2.54,103149,46,1529
17089853007,29.81,6.26,60455,43,1133
17089853100,27.03,10.51,57177,65,1330
17089854800,0.78,2.4,135271,20,2037
17043840104,22.6,3.23,49547,47,1073
17043840910,21.02,3.84,64602,49,1455
17043841207,23.01,3.65,67405,49,1337
17031802607,3.4,5.09,123889,63,1700
17031803012,7.11,4.66,74750,37,1305
17031803604,6.36,2.27,79853,45,1289
17031804306,19.07,3.86,69500,58,1680
17031804511,24.38,1.05,58203,44,1075
17031804713,9.69,1.65,91913,46,1453
17031805501,7.86,2.94,112813,57,1728
17031806300,10.02,4.33,94028,68,1039
17031806801,8.83,5.63,71250,59,1353
17031807500,9.81,6.54,116000,64,1750
17031807900,10.43,2.54,100833,61,0
17031808600,3.13,0.88,168750,61,2179
17031810100,3.25,3.64,73438,0,1276
17031810800,10.65,4.06,76294,0,1328
17031812100,1.83,5.64,124667,0,1154
17031813500,34.29,3.01,59228,0,967
17031815100,20.3,2.58,74676,0,1062
17031816600,45.21,6.72,59940,60,1077
17031818100,8.7,4.27,102656,65,1430
17031819500,6.16,2.37,86898,58,1138
17031820902,15.55,5.44,87443,55,1496
17031520200,22.32,16,29630,0,732
17031560200,14.43,31.53,54453,65,945
17031580300,45.36,12.13,48110,0,892
17031580700,37.75,13.06,47000,0,893
17031611600,23.8,22.78,25882,72,726
17031630300,27.39,13.44,51184,75,898
17031640100,13.39,5.23,42895,64,1017
17031660301,25.37,26.03,24230,69,755
17031670300,17.1,12.11,22395,0,923
17031671400,23.82,21.12,23029,78,1034
17031690500,25.7,29.28,26154,0,818
17031710200,18.89,17.79,25288,78,878
17031720200,3.58,5.33,71979,0,861
17031730400,16.28,7.68,80787,70,1138
17031750100,10.24,19.9,43277,63,808
17031750600,9.22,8.15,42949,63,1354
17197880111,17.56,4.4,84167,51,1785
17197880204,7.06,1.27,71860,22,1676
17043841322,11.85,3.63,97674,41,1624
17043841703,15.9,7.32,41214,40,1079
17043842100,1.25,5.58,129145,51,1081
17043842800,4.75,4.95,124010,64,1590
17043843602,4.25,1.12,75855,65,833
17043844801,2.93,2.41,126389,62,1388
17043845509,2.76,0,124063,31,1168
17043845510,4.47,3.98,69732,44,1334
17031822200,3.17,5.5,94211,64,1675
17031823002,9.13,3.36,51995,56,980
17031823901,4.45,4.73,90536,44,1821
17031824122,3.7,3.18,92476,31,1620
17031825200,17.37,4.31,79688,54,1780
17031826304,11.55,21.36,35799,52,1073
17031828602,4.69,4.06,93000,53,1607
17031828900,22.43,20.86,53315,60,981
17031190601,28.13,10.42,56771,74,1255
17031200200,31.11,5.75,46625,0,1071
17031220701,10.14,4.69,70568,0,1179
17031222500,10.61,6.31,90750,0,1317
17031230100,14.55,2.01,56563,0,1190
17031240300,2.25,1.25,125882,0,1698
17031242100,2.8,2.27,143547,24,1779
17031242600,11.24,3.16,63009,0,1214
17089850201,33.71,2.18,64728,54,1390
17089851302,35.45,6.75,52368,0,1104
17031010201,19.67,3.05,45639,68,1120
17031020500,31.34,13.13,44926,76,1094
17031030200,6.58,5.29,74434,0,1166
17031031700,6.68,3.85,56448,0,1024
17031031900,6.95,6.04,69265,0,1200
17031050500,2.93,2.02,162616,0,1691
17031051300,0.85,1.1,188697,28,1673
17031061500,0.46,2.33,123409,0,1811
17031062900,0.5,2.02,131900,66,1593
17031063400,0.45,0.81,105735,68,1479
17031070400,7.84,0,114902,57,1154
17031070600,1.6,2.31,170750,32,1758
17031071300,0,2.25,122621,61,1619
17031081300,1.1,6.04,86207,55,1676
17031140302,17.18,5.62,75789,0,1131
17031140601,24.61,9.03,43988,0,1044
17031150700,14.02,1.95,75545,0,1177
17031160501,22.99,4.78,60349,0,1191
17031171000,12.44,3.93,79750,68,1150
17031440201,8.75,11.14,28849,78,904
17031460500,6.82,7.88,59755,0,783
17031490700,13.69,23.47,44745,66,1292
17031491200,7.43,18.87,39234,73,1120
17031500300,12.41,17.52,42543,0,866
17097860301,18.73,11.44,46618,56,1330
17097861014,3.26,7.24,94000,29,1551
17097861608,6.11,3.97,91859,43,1184
17097862502,36.29,12.83,60577,59,1112
17097862605,16.44,25.1,25444,43,765
17097863903,3,3.2,113929,50,1233
17097864505,1.16,11.9,98299,40,1694
17043846315,2.36,2.95,113553,53,1685
17043846514,4.48,2.82,134116,23,1796
17043846523,0.75,4.8,155655,50,2379
17097864903,1.38,2.29,153148,52,1496
17097865700,0.93,1.18,171696,59,2039
17111870704,4.18,4.93,71765,55,1260
17111871201,4.42,2.66,86325,39,1356
17111871404,3.99,4.45,81691,33,1724
17197880310,1.82,3.97,126646,16,2075
17197880418,10.19,4.42,130457,24,2025
17197881012,6.65,3.47,115385,30,2673
17197881111,3.6,4.39,83305,37,1184
17197881603,11.37,7.39,46503,49,911
17197882602,27.88,7.49,54559,0,1075
17197883206,7.36,7.3,61650,44,1009
17197883401,8.75,4.67,53714,50,855
17197883700,7.03,4.47,53542,59,853
17031824115,8.64,1.95,74318,43,1158
17031400800,25.36,24.14,18954,58,944
17031410200,2.87,8.34,41692,0,1115
17031411200,3.07,5.04,88571,0,1381
17031420300,4.96,18.78,36719,69,1000
17031420700,19.13,38.4,19498,0,1045
17031430300,6.94,26.65,18133,77,1040
17031431200,5.07,11.92,55560,0,1246
17031440102,13.26,9.49,32047,67,845
17031460200,24.51,13.48,28363,0,777
17031461000,28.56,13.31,15956,71,458
17031520300,38.44,16.15,41652,0,840
17031530501,10.23,9.91,43143,78,850
17031560100,28.32,9.24,61905,62,862
17097865802,0.16,4.97,202917,52,0
17031836700,17.79,9.88,30783,72,937
17043840202,12.04,2.1,99327,41,1577
17031030104,11.77,12.73,35988,58,1067
17031030702,3.48,4.37,58299,48,1357
17031030800,5.47,3.15,95688,0,1403
17031031501,19.03,4.8,36917,76,843
17031031800,3.2,3.63,84758,0,1181
17031040600,0.99,1.86,90167,0,1432
17031050300,3.15,3.45,79892,0,1274
17031820606,10.41,4.48,72143,44,1313
17031821002,21.36,3.72,58828,57,1287
17031821401,10.89,12.37,45457,61,899
17031700402,19.07,18.63,70072,65,0
17031804509,22.31,3.37,84375,45,1443
